id,type,name,nameResale,nameAI,description,latitude,longitude,annualRevenueIncreasePct,createdAt,updatedAt,parentId,picture,isFavorite
13,municipality,Alhaurín el Grande,Alhaurín el Grande,Alhaurín el Grande,,36.64282980,-4.68767070,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
14,area,Centro,,Alhaurín el Grande,,36.64372130,-4.68539330,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,13,,f
15,area,El Cigarral - Dehesa - Borrajo,,Alhaurín el Grande,,36.64508200,-4.69803200,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,13,,f
16,area,Ardelejos - Cuesta de la Palma - Buenavista,,Alhaurín el Grande,,36.65132980,-4.66566870,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,13,,f
17,area,Las Lomas - Las Torres - Terrazas de Alhaurín,,Alhaurín el Grande,,36.62855270,-4.73019830,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,13,,f
18,area,Alhaurín Golf,Alhaurin Golf,Alhaurín el Grande,,36.60857000,-4.70446590,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,13,,f
19,area,Villafranco del Guadalhorce,Villafranco del Guadalhorce,Alhaurín el Grande,,36.70154060,-4.69898390,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,13,,f
20,municipality,Alora,Alora,Pinos de Alhaurín,,36.82496280,-4.70576870,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
21,area,Alora,Alora,Pinos de Alhaurín,,36.82496280,-4.70576870,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,20,,f
22,municipality,Antequera,Antequera,Pinos de Alhaurín,,37.01716060,-4.56001360,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
23,area,Centro,,Pinos de Alhaurín,,37.01833100,-4.56117220,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,22,,f
24,area,Bobadilla - Bobadilla Estación - La Joya,,Pinos de Alhaurín,,37.04171430,-4.69623420,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,22,,f
25,area,Zona Cueva de Menga,,Pinos de Alhaurín,,37.02416720,-4.54826650,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,22,,f
26,area,Zona de la Vega,,Pinos de Alhaurín,,37.01490860,-4.56049940,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,22,,f
